index_column,taxumap1,taxumap2
PP105_-4,19.628363,-3.6264322
PP105_-3,19.964611,-3.3733723
PP105_-2,19.554794,-3.4267209
PP105_-1,17.756937,0.5637928
PP105_0,17.482183,-5.43976
PP105_1,18.365576,1.0305073
PP105_2,17.646132,0.6720882
PP105_3,17.375898,-5.239672
PP105_4,17.361713,-5.298923
PP105_5,17.728266,0.6012763
PP105_6,17.587767,-5.1475015
PP105_7,17.520481,-5.3508244
PP105_8,17.7493,-5.137785
PP105_9,17.731377,0.581794
PP105_10,16.75342,-4.946129
PP105_11,15.636305,-4.1440887
PP105_12,17.451988,-5.3096323
PP105_13,15.679353,-4.0746245
PP105_14,17.45848,-5.4012456
PP105_15,17.701754,-5.181769
PP105_16,17.783688,-5.229655
PP105_17,17.409569,-5.278193
PP106_-8,19.799799,-2.7054796
PP106_-7,20.245197,-3.4196923
PP106_-6,18.527304,-3.446678
PP106_-5,19.382078,-1.3173927
PP106_-4,17.142275,-4.8223605
PP106_-3,15.628497,-3.4816766
PP106_-2,16.45186,-3.971934
PP106_-1,18.75915,-3.067307
PP106_0,17.092499,-4.82805
PP106_1,17.765848,-3.2022567
PP106_2,15.826598,-4.2990394
PP106_3,16.025143,-4.318241
PP106_4,19.006403,-5.789666
PP106_5,18.9287,-5.664946
PP106_6,19.043701,-5.820979
PP106_7,17.68413,-3.2580824
PP106_8,18.580961,-4.7135506
PP106_9,19.751352,-3.0838885
PP106_10,17.132572,-4.481532
PP106_11,19.689423,-4.6544275
PP106_12,17.784525,-4.852688
PP106_13,19.349907,-4.6301007
PP106_14,19.080158,-5.8784695
PP107_-8,20.496218,-3.4688966
PP107_-7,17.832266,-4.277527
PP107_-6,14.7230425,-3.6128159
PP107_-4,18.819832,-1.1102614
PP107_-3,18.744658,-0.68668103
PP107_-2,18.653322,-0.8011291
PP107_-1,20.517672,-3.1421669
PP107_0,14.198442,-2.8801892
PP107_2,17.196516,-1.3813556
PP107_5,19.359745,-1.7637019
PP107_6,19.710154,-1.4228178
PP107_8,19.777613,-1.3240893
PP107_9,20.047388,-1.1023316
PP108_-6,18.789013,-4.520766
PP108_-5,19.900349,-2.87351
PP108_-4,20.424044,-3.1362991
PP108_-3,19.398499,-1.7945518
PP108_-2,19.128645,-2.2975664
PP108_-1,19.711658,-2.7713873
PP108_0,15.774127,-4.846356
PP108_1,19.577724,-2.8205633
PP108_2,19.639565,-1.5659257
PP108_3,19.451368,-1.9284145
PP108_4,19.005249,-2.5836136
PP108_5,19.652155,-1.4807892
PP108_6,19.82086,-1.3756808
PP108_7,19.689947,-1.4308374
PP108_8,19.542082,-1.5052108
PP108_9,18.972431,-1.7279695
PP108_10,19.764822,-1.8316731
PP108_11,19.738161,-1.8200961
PP108_12,19.106476,-2.5888143
PP108_13,19.02257,-2.6657991
PP108_14,18.981121,-2.7052765
PP108_15,20.017563,-2.4664073
PP108_16,19.709604,-2.5582652
PP108_17,18.954342,-2.5685291
PP108_18,20.640764,-3.0483062
PP108_19,17.505981,-3.6473548
PP108_20,17.237661,-5.0683966
PP108_21,19.185894,-2.0406892
PP108_22,19.793404,-1.3047297
PP109_-9,17.156029,-2.1604998
PP109_-8,17.669353,-3.8591917
PP109_-7,18.017855,-3.335183
PP109_-6,19.720387,-2.3558204
PP109_-3,16.947475,-3.787205
PP109_-2,19.240025,-2.2164974
PP109_-1,18.114923,1.6926064
PP109_0,17.994,5.409474
PP109_1,17.95498,-1.8512186
PP109_2,17.165949,-1.2638998
PP109_3,18.14897,1.7450941
PP109_4,17.514828,-5.403988
PP109_5,17.025236,-3.0946193
PP109_6,18.576618,-4.6553655
PP109_7,19.96303,-1.1841252
PP109_8,19.247545,-2.1005163
PP109_9,16.688183,-2.5658398
PP109_10,18.003498,1.3554146
PP109_11,19.788376,-2.9604094
PP109_12,18.017519,1.654998
PP109_13,18.003584,5.42411
PP109_14,15.768676,-4.957399
PP11_-5,18.737045,-4.578953
PP11_-4,17.812511,-3.3950422
PP11_-3,18.506735,-4.3426356
PP11_-2,19.050999,-4.452196
PP11_-1,18.775196,-4.564313
PP11_0,18.38224,-3.9649203
PP11_1,20.41699,-3.2366152
PP11_2,18.797804,-4.5577765
PP11_3,18.378853,-4.057807
PP11_4,18.711212,-4.582929
PP11_5,17.320488,-4.000044
PP11_6,20.151136,-3.3139818
PP11_7,18.777752,-4.567841
PP11_8,18.424458,-3.9421334
PP11_9,18.696522,-4.5050683
PP11_10,18.45531,-3.9472444
PP11_11,20.339787,-3.3335013
PP11_12,20.231194,-3.3811984
PP11_13,18.520586,-4.3366957
PP11_14,18.42088,-4.0108314
PP11_15,18.78712,-4.536041
PP110_-6,20.334179,-3.3993702
PP110_-5,16.109993,-4.7863283
PP110_-4,17.98159,-3.6019583
PP110_-3,19.931833,-3.17394
PP110_-2,18.95902,-5.6650677
PP110_-1,15.891189,-4.900698
PP110_0,20.350052,-3.1846867
PP110_1,16.541708,-4.2494125
PP110_2,18.235872,-4.79553
PP110_3,16.479027,-4.1234045
PP110_4,16.386429,-4.2707715
PP110_5,15.797038,-4.9703784
PP110_6,16.207306,-4.4975886
PP110_7,19.670938,-3.0553613
PP110_8,16.70323,-4.189423
PP110_9,16.519352,-4.195887
PP110_10,16.449234,-4.118839
PP111_-5,17.842789,-4.421334
PP111_-4,17.82398,-4.3895364
PP111_-3,17.71599,-4.684489
PP111_-1,17.232307,-5.3567047
PP111_0,17.371584,-4.5055413
PP111_1,17.385721,-4.8550076
PP111_2,19.813046,-4.5586886
PP111_3,17.840849,-4.6956096
PP111_4,17.276491,-4.9116335
PP111_5,20.306223,-3.4809077
PP111_6,17.731934,-4.6452694
PP111_7,16.896856,-4.7911825
PP112_3,15.862308,-4.8374043
PP112_4,15.8039665,-4.8879504
PP112_5,15.938597,-4.3616686
PP112_6,14.480637,-2.932644
PP112_7,14.591914,-2.8849397
PP112_8,14.842412,-2.866903
PP112_9,14.787267,-2.9929175
PP112_10,14.784276,-3.0085592
PP112_11,14.812226,-2.9663901
PP112_12,17.235044,-4.979626
PP112_13,17.984303,5.13195
PP112_14,14.788719,-3.025326
PP113_-3,17.90229,-1.7582074
PP113_-2,18.047688,-1.7725062
PP113_-1,19.346191,-3.2699838
PP113_0,19.714376,-3.3009107
PP113_1,19.406618,-2.8351233
PP113_2,18.475163,-1.2730696
PP113_3,18.899498,-0.48732328
PP113_4,18.381815,-3.4572775
PP113_5,19.571009,-1.3509028
PP113_6,18.703001,-0.99580646
PP113_7,17.0728,-3.1199064
PP113_8,18.69062,-0.10848507
PP113_9,16.287495,-2.4920537
PP113_10,16.185326,-4.8276825
PP113_11,17.258146,-1.7705815
PP113_12,15.785108,-5.0110884
PP113_13,19.491207,-1.3801215
PP113_14,17.258394,-1.2055806
PP113_15,17.903904,0.42460895
PP113_16,15.827063,-4.966075
PP113_17,15.924523,-4.8320074
PP113_18,16.061556,-4.664172
PP113_19,16.087917,-4.7504783
PP113_20,17.334139,-1.5953811
PP113_21,17.281876,-1.4589019
PP113_22,17.186184,-5.2899184
PP113_23,17.089521,-5.1199756
PP113_24,17.089388,-5.1827726
PP113_25,17.097088,-5.204694
PP114_-6,16.080427,-3.5049353
PP114_-5,14.768063,-3.6106281
PP114_-4,15.943435,-3.2701654
PP114_-1,16.764044,-3.381709
PP114_0,16.29381,-2.6100514
PP114_1,15.271102,-1.7691672
PP114_10,17.874443,-4.5977645
PP115_-5,18.072422,-3.396832
PP115_-4,17.92048,-3.3969052
PP115_-3,20.52019,-3.2405066
PP115_-2,18.77007,-4.5347238
PP115_-1,18.677076,-4.451604
PP115_0,17.92893,-3.2825625
PP115_1,15.586465,-2.3816822
PP115_2,16.678782,-2.8510087
PP115_3,17.125599,-3.7731416
PP115_5,17.002287,-3.0714478
PP115_6,18.644402,-4.478448
PP115_7,18.691074,-4.465996
PP115_8,18.548462,-4.232146
PP115_9,17.473314,-4.0077605
PP115_10,20.84101,-3.1260982
PP115_11,17.82193,-3.5850987
PP115_12,19.515366,-4.5426855
PP115_13,19.179293,-1.8715318
PP115_14,17.851765,-3.7839522
PP115_15,17.680801,-2.8372355
PP115_16,19.070341,-1.8120179
PP115_17,17.51489,-2.673472
PP115_18,17.50141,-2.815677
PP115_19,18.753164,-4.5925775
PP115_20,18.698896,-4.4910617
PP115_21,17.897343,-3.3242948
PP115_22,19.66172,-3.6001112
PP116_-5,21.01552,-3.0933452
PP116_-4,19.776781,-4.6889424
PP116_-3,19.686811,-4.6036677
PP116_-2,17.58627,-4.0468354
PP116_-1,15.575902,-2.6431272
PP116_0,19.822687,-4.666997
PP116_1,18.95701,-5.61267
PP116_2,20.37677,-3.3260162
PP116_3,19.859196,-4.6501193
PP116_4,17.105673,-5.1108303
PP116_5,19.37013,-4.662238
PP116_6,16.297552,-3.1878562
PP116_7,16.486866,-2.9228463
PP117_-7,19.716219,-4.752783
PP117_-6,17.439692,-5.4140315
PP117_-4,15.066119,-3.785243
PP117_-3,16.60007,-4.1231394
PP117_-2,17.86179,-5.0334826
PP118_-8,19.096403,-2.4971952
PP118_-7,19.344507,-3.559177
PP118_-5,15.788286,-4.8191285
PP118_-4,15.27805,-3.2734218
PP118_-3,17.473473,-5.4385033
PP118_-2,15.432148,-2.6109161
PP118_-1,17.628683,-4.804086
PP118_0,17.1491,-4.67526
PP118_1,17.199469,-2.9216783
PP118_2,15.827459,-4.455722
PP118_3,19.727446,-1.384052
PP118_8,15.62758,-2.6158571
PP118_9,15.794,-4.5499144
PP118_10,16.651762,-5.0919333
PP118_11,18.765259,-5.62174
PP118_12,16.542799,-4.316607
PP119_-4,17.96662,-3.6710324
PP119_-3,20.01238,-3.642879
PP119_-2,17.228418,-5.4026175
PP119_-1,17.884212,-3.493804
PP119_0,17.286581,-2.3148887
